Company Name,Company Page URL,Engagement Level,Organic Impressions,Organic Engagements,Paid Impressions,Paid Clicks,Paid Engagements,Paid Conversions,Paid Leads,Paid Qualified Leads
"DSaB",https://www.linkedin.com/company/dsab,Very Low,,,14,,,,,
"Mo Gård",https://www.linkedin.com/company/mo-gård,Very High,6,6,14,,,,,
"Ditwin AB",https://www.linkedin.com/company/ditwinsolutions,Very Low,,,14,,,,,
"IFK Klagshamn",https://www.linkedin.com/company/ifk-klagshamn,Very High,89,90,14,,,,,
"Cederblads Revisionsbyrå AB",https://www.linkedin.com/company/cederblads-revisionsbyra-ab,Very Low,3,,14,,,,,
"DHL Sverige",https://www.linkedin.com/company/dhl-sverige,Very Low,,,14,,,,,
"Raketech",https://www.linkedin.com/company/raketech,High,3,3,14,,,,,
"Kafeko Nordic",https://www.linkedin.com/company/kafeko-nordic,Very Low,,,14,,,,,
"Skånes Ishockeyförbund",https://www.linkedin.com/company/skånes-ishockeyförbund,Very High,21,18,14,,,,,
"Föreningen för utvecklingsfrågor (FUF)",https://www.linkedin.com/company/föreningen-för-utvecklingsfrågor,Very Low,,,14,,,,,
"Ödeshögs kommun",https://www.linkedin.com/company/odeshogs-kommun,Very Low,,,14,,,,,
"Tedsys",https://www.linkedin.com/company/tedsysab,High,3,3,14,,,,,
"Wabtec Corporation",https://www.linkedin.com/company/wabtec-corporation,Very High,8,7,14,,,,,
"Ömangruppen",https://www.linkedin.com/company/ömangruppen,Very Low,,,14,,,,,
"Skånesemin",https://www.linkedin.com/company/skånesemin,Very Low,,,14,,,,,
"Uddevalla Gymnasieskola",https://www.linkedin.com/company/uddevalla-gymnasieskola,Very Low,,,14,,,,,
"Fredericia Furniture",https://www.linkedin.com/company/fredericia-furniture-a-s,High,3,3,14,,,,,
"Vasatorps Golfklubb",https://www.linkedin.com/company/vasatorps-golfklubb,Very Low,,,14,,,,,
"GetIT Nordic",https://www.linkedin.com/company/getit-nordic,Very Low,,,14,,,,,
"Nurse & Doc Partner",https://www.linkedin.com/company/nurse-partner-&-doc-partner,Very Low,,,14,,,,,
"Right Livelihood",https://www.linkedin.com/company/rightlivelihood,Very High,180,204,14,,,,,
"Malmö LBC",https://www.linkedin.com/company/malmo-lastbilcentral-ab,Very High,20,20,14,,,,,
"Lagerlöfs Advokatbyrå",https://www.linkedin.com/company/lagerlöfs-advokatbyrå,Very Low,,,14,,,,,
"effektiv.se",https://www.linkedin.com/company/ab-effektiv-bemanning-sverige,Very Low,,,14,,,,,
"Familjebostäder",https://www.linkedin.com/company/familjebostäder,Very High,10,11,14,,,,,
"Länsstyrelsen Värmland",https://www.linkedin.com/company/lansstyrelsen-varmland,Very Low,,,14,,,,,
"Min Doktor",https://www.linkedin.com/company/mindoktor,Very High,33,34,14,,,,,
"Inredningskurser Sverige AB",https://www.linkedin.com/company/inredningskurser-sverige-ab,High,5,4,14,,,,,
"Consentio Ledarskap AB",https://www.linkedin.com/company/consentio-ledarskap-ab,Very High,19,20,14,,,,,
"Elavon Europe",https://www.linkedin.com/company/elavon-europe,Very Low,,,14,,,,,
"NewCold",https://www.linkedin.com/company/newcold,Very Low,,,14,,,,,
"GKN Aerospace Sweden",https://www.linkedin.com/company/gkn-aerospace-sweden-ab,High,5,5,14,,,,,
"Viaplay Group",https://www.linkedin.com/company/viaplaygroup,Very High,27,27,14,,,,,
"Invest in Skåne",https://www.linkedin.com/company/investinskane,Very High,7,7,14,,,,,
"Linxens",https://www.linkedin.com/company/linxens,Very Low,,,14,,,,,
"Lindholmen Science Park",https://www.linkedin.com/company/lindholmen-science-park-ab,Very High,31,31,14,,,,,
"Elvenite",https://www.linkedin.com/company/elvenite,Very Low,,,14,,,,,
"Carpe Diem Beds",https://www.linkedin.com/company/carpe-diem-beds-of-sweden-ab,Very Low,,,14,,,,,
"Outnorth AB",https://www.linkedin.com/company/outnorth-ab,Very High,40,42,14,,,,,
"Veterankraft",https://www.linkedin.com/company/veterankraft,High,4,4,14,,,,,
"AGI Media",https://www.linkedin.com/company/agi-media-ab,Very Low,,,14,,,,,
"HR-föreningen",https://www.linkedin.com/company/hrforeningen,Very High,46,47,14,,,,,
"HEATEX",https://www.linkedin.com/company/heatex-ab,Very High,8,8,14,,,,,
"Académie Libanaise des Beaux-Arts",https://www.linkedin.com/company/acad-mie-libanaise-des-beaux-arts,High,4,4,14,,,,,
"Kunskapscompaniet",https://www.linkedin.com/company/kunskapscompaniet,Very High,6,6,14,,,,,
"Kristianstadsbladet och Norra Skåne",https://www.linkedin.com/company/gotamedia,Very High,8,8,14,,,,,
"Högskolan för lärande och kommunikation, Jönköping University",https://www.linkedin.com/company/hogskolanforlarandeochkommunikation,High,5,5,14,,,,,
"Östhammars kommun",https://www.linkedin.com/company/-sthammars-kommun,Very Low,3,,14,,,,,
"Marknadsföreningen i Helsingborgsregionen",https://www.linkedin.com/company/mihbg,Very High,6,6,14,,,,,
"Awiant Malmö",https://www.linkedin.com/company/awiant-malmo,Very High,20,20,14,,,,,
"Haparanda stad",https://www.linkedin.com/company/haparanda-stad,Very Low,,,14,,,,,
"Ur&Penn",https://www.linkedin.com/company/ur&penn,Very High,11,10,14,,,,,
"Brottsofferjouren Sverige",https://www.linkedin.com/company/brottsofferjourernas-riksf-rbund,Very Low,3,,14,,,,,
"DataTjej",https://www.linkedin.com/company/datatjej,Very High,18,23,14,,,,,
"Sweden Rock Festival",https://www.linkedin.com/company/sweden-rock-festival,High,7,5,14,,,,,
"Zinzino",https://www.linkedin.com/company/zinzinoofficial,Very Low,,,14,,,,,
"Autoropa AB",https://www.linkedin.com/company/autoropa-ab,Very Low,,,14,,,,,
"Risk Pilot AB",https://www.linkedin.com/company/risk-pilot-ab,Very Low,,,14,,,,,
"Kockum Sonics AB",https://www.linkedin.com/company/kockum-sonics-ab,Very Low,3,,14,,,,,
"Ystad Hamn Logistik AB / Port of Ystad",https://www.linkedin.com/company/ystad-hamn-logistik-ab-port-of-ystad,Very High,51,52,14,,,,,
"Business Region Göteborg",https://www.linkedin.com/company/business-region-goteborg-ab,High,4,4,14,,,,,
"Stockholms Stadsmission",https://www.linkedin.com/company/stadsmissionens-skola,High,4,4,14,,,,,
"Infozone",https://www.linkedin.com/company/infozone-sverige-ab,Very Low,,,14,,,,,
"Edusoft",https://www.linkedin.com/company/edusoft-mk,Very Low,,,14,,,,,
"ABAKO Arkitektkontor AB",https://www.linkedin.com/company/abako-arkitektkontor-ab,Very High,14,13,14,,,,,
"Embassy of Sweden",https://www.linkedin.com/company/embassy-of-sweden,Very High,65,68,14,,,,,
"Lekebergs kommun",https://www.linkedin.com/company/lekebergs-kommun,Very High,9,11,14,,,,,
"Unikum – Unikt lärande",https://www.linkedin.com/company/unikum-–-unikt-lärande-för-unika-barn,Very High,33,34,14,,,,,
"Cuebid",https://www.linkedin.com/company/cuebid,Very High,8,8,14,,,,,
"Sveriges riksbank",https://www.linkedin.com/company/sveriges-riksbank,Very High,19,20,14,,3,,,
"Actemium",https://www.linkedin.com/company/actemium,Very Low,,,14,,,,,
"Combine",https://www.linkedin.com/company/combine,Very Low,,,14,,,,,
"Talenom",https://www.linkedin.com/company/talenom,Very Low,,,14,,,,,
"Norstedts Förlagsgrupp",https://www.linkedin.com/company/norstedts-förlagsgrupp,Very High,11,8,14,,,,,
"CN Rood",https://www.linkedin.com/company/cnrood,Very Low,,,14,,,,,
"Tekniska verken",https://www.linkedin.com/company/tekniskaverken,Very High,20,20,14,,,,,
"Berghs School of Communication",https://www.linkedin.com/company/berghs-school-of-communication,Very Low,,,14,,,,,
"Crayon",https://www.linkedin.com/company/crayon-group,Very High,78,85,14,,,,,
"Statens fastighetsverk",https://www.linkedin.com/company/statens-fastighetsverk,Very High,35,36,14,,,,,
"Riksteatern – Hela Sveriges scen",https://www.linkedin.com/company/riksteatern,Very High,20,25,14,,4,,,
"Rainforest Action Network",https://www.linkedin.com/company/rainforest-action-network,Very Low,,,14,,,,,
"Svenska Spel",https://www.linkedin.com/company/svenska-spel,Very High,53,55,14,,,,,
"Ringhals AB",https://www.linkedin.com/company/ringhals-ab,Very High,10,10,14,,,,,
"Boehringer Ingelheim",https://www.linkedin.com/company/boehringer-ingelheim,High,5,3,14,,,,,
"European Parliament",https://www.linkedin.com/company/european-parliament,Very High,29,29,14,,,,,
"VAROPreem",https://www.linkedin.com/company/varopreem,Very High,12,12,13,,,,,
"Saltfish",https://www.linkedin.com/company/saltfish,Very Low,,,13,,,,,
"Quudra",https://www.linkedin.com/company/quudra,Very Low,,,13,,,,,
"Horsa Nordic",https://www.linkedin.com/company/horsa-nordic,Very Low,,,13,,,,,
"Next Events",https://www.linkedin.com/company/2211-2,Very High,37,37,13,,,,,
"Autoklinik Bilskador SE",https://www.linkedin.com/company/autoklinik-se,Very Low,,,13,,,,,
"ECTEA",https://www.linkedin.com/company/ectea1,Very High,19,21,13,,4,,,
"Viljan Omsorg",https://www.linkedin.com/company/viljan-omsorg,High,4,4,13,,,,,
"RS Flyinge",https://www.linkedin.com/company/rsflyinge,Very Low,,,13,,,,,
"Caragana Bygg AB",https://www.linkedin.com/company/caragana-bygg-ab,Very Low,,,13,,,,,
"Forvis Mazars Group",https://www.linkedin.com/company/forvis-mazars-group,Very Low,,,13,,,,,
"SES Protection",https://www.linkedin.com/company/ses-protection,Very Low,,,13,,,,,
"Arbetsmarknadsenheten Eslövs kommun",https://www.linkedin.com/company/arbetsmarknadsenheten-esl-vs-kommun,Very High,18,18,13,,6,,,
"Scan Sverige AB",https://www.linkedin.com/company/scan-sverige-ab,Very Low,,,13,,,,,
"Ecotech Nordic Group",https://www.linkedin.com/company/ecotech-nordic-group,Very High,15,12,13,,4,,,
"Stretch Beyond AB",https://www.linkedin.com/company/stretch-beyond-ab,Very Low,,,13,,,,,
"Ellinge Slott",https://www.linkedin.com/company/ellinge-slott,Very Low,,,13,,,,,
"MeasureCamp Malmö",https://www.linkedin.com/company/measurecamp-malmo,Very Low,,,13,,,,,
"Beviso Ekonomibyrå",https://www.linkedin.com/company/beviso-ekonomibyrå,Very High,5,5,13,,,,,
"Städmyran i Väst",https://www.linkedin.com/company/städmyran-i-väst,Very Low,,,13,,,,,
"SteelWatch",https://www.linkedin.com/company/steelwatch,Very Low,,,13,,,,,
"NOBA Bank Group",https://www.linkedin.com/company/nobabankgroup,Very Low,,,13,,,,,
"Studentkåren Malmö",https://www.linkedin.com/company/studentkåren-malmö,Very High,47,50,13,,,,,
"Inkludera Assistans AB",https://www.linkedin.com/company/inkluderaassistans,Very High,12,12,13,,,,,
"Askeröds IF",https://www.linkedin.com/company/askeröds-if,Very Low,,,13,,,,,
"Dunkers kulturhus",https://www.linkedin.com/company/dunkers-kulturhus,Very Low,,,13,,,,,
"Träningskompaniet",https://www.linkedin.com/company/träningskompaniet,Very Low,,,13,,,,,
"Malmö Badmintonklubb",https://www.linkedin.com/company/malmö-badmintonklubb,Very Low,,,13,,,,,
"Blomman Vårdcentral",https://www.linkedin.com/company/blomman-vårdcentral,Very High,42,42,13,,,,,
"Communardo Nordics",https://www.linkedin.com/company/stretch-addera,Very Low,,,13,,,,,
"Sigma Industry South Group",https://www.linkedin.com/company/sigma-industry-south-group,Very High,9,9,13,,,,,
"Tandcity",https://www.linkedin.com/company/tandcity,Very Low,,,13,,,,,
"SeniorNet Malmö",https://www.linkedin.com/company/seniornetmalmo,Very Low,,,13,,,,,
"The Drop",https://www.linkedin.com/company/the-drop-conf,Very Low,,,13,,,,,
"Österlen VA",https://www.linkedin.com/company/österlen-va,Very High,6,6,13,,,,,
"Sociology of Law Department, Lund University",https://www.linkedin.com/company/soclaw-lu,Very Low,,,13,,,,,
"Severin Advokater",https://www.linkedin.com/company/severin-advokater,Very Low,,,13,,,,,
"Knowledgepro education",https://www.linkedin.com/company/knowledgepro-education-sickla-ab,Very Low,,,13,,,,,
"Skåneportar AB",https://www.linkedin.com/company/skåneportar-ab,Very Low,,,13,,,,,
"Frost",https://www.linkedin.com/company/frostaero,Very Low,,,13,,,,,
"Utbetalningsmyndigheten",https://www.linkedin.com/company/kiutbetalningsmyndigheten,High,,,13,3,3,,,
"Omnino   I   Energioptimerad ventilation",https://www.linkedin.com/company/omnino-ab,Very High,49,50,13,,,,,
"Kunskapsproffsen education",https://www.linkedin.com/company/kunskapsproffsen,Very Low,,,13,,,,,
"A.R.C Fastighetspartner",https://www.linkedin.com/company/a-r-c-fastighetspartner,Very High,30,29,13,,,,,
"Trelson",https://www.linkedin.com/company/trelson,High,,,13,,4,,,
"O'Learys Group",https://www.linkedin.com/company/olearys-group,Very Low,,,13,,,,,
"Svenska Lottakåren",https://www.linkedin.com/company/svenskalottakaren,Very Low,,,13,,,,,
"Montessori Mondial",https://www.linkedin.com/company/montessori-mondial,Very High,17,17,13,,,,,
"Cytex",https://www.linkedin.com/company/cytex-dk,Very Low,,,13,,,,,
"Farmers First AB",https://www.linkedin.com/company/farmersfirstgroup,Very Low,,,13,,,,,
"Panasonic Fire & Security Europe AB",https://www.linkedin.com/company/panasonic-fire-security-ab,Very High,38,41,13,,,,,
"lynes",https://www.linkedin.com/company/lynes-technologies,Very High,15,15,13,,,,,
"Huawei Sweden",https://www.linkedin.com/company/huawei-sweden,Very Low,,,13,,,,,
"Velents.ai",https://www.linkedin.com/company/velents,Very Low,,,13,,,,,
"Viscaria",https://www.linkedin.com/company/gruvaktiebolaget-viscaria,Very Low,,,13,,,,,
"Brand Impact Sweden AB",https://www.linkedin.com/company/brand-impact-sweden-ab,Very High,21,18,13,,,,,
"Katrinelundsgymnasiet",https://www.linkedin.com/company/katrinelundsgymnasiet,Very Low,,,13,,,,,
"Nolato MediTor AB",https://www.linkedin.com/company/nolato-meditor,High,,,13,,4,,,
"DYKAB I LULEÅ AB",https://www.linkedin.com/company/dykab-i-luleå-ab,Very Low,,,13,,,,,
"Lexicon - vidareutbildning IT",https://www.linkedin.com/company/lexicon-yrkesutbildning,Very High,6,7,13,,,,,
"Ängelholmslokaler",https://www.linkedin.com/company/angelholmslokaler,Very Low,,,13,,,,,
"Hallands Hamnar AB",https://www.linkedin.com/company/hallands-hamnar-ab,Very Low,5,,13,,,,,
"Städpulsen AB",https://www.linkedin.com/company/st-dpulsen-ab,Very High,54,57,13,,,,,
"Datakraft i Småland AB",https://www.linkedin.com/company/datakraft-i-smaland-ab,Very Low,,,13,,,,,
"AUTO-ÄLGEN AB",https://www.linkedin.com/company/auto-algen,Very Low,,,13,,,,,
"Elitfönster På Plats",https://www.linkedin.com/company/elitfonster-pa-plats,Very Low,,,13,,,,,
"Nyfosa AB",https://www.linkedin.com/company/nyfosa-ab,Very High,7,7,13,,,,,
"Eterni Sweden",https://www.linkedin.com/company/eterni-sverige,Very Low,,,13,,,,,
"Predge AB",https://www.linkedin.com/company/predge-ab,Very Low,,,13,,,,,
"Sunclass Airlines",https://www.linkedin.com/company/sunclassairlines,Very High,7,7,13,,,,,
"Nevel",https://www.linkedin.com/company/nevelinfra,Very Low,,,13,,,,,
"Vöfab",https://www.linkedin.com/company/vofab,Very High,35,37,13,,,,,
"Automatic Control, Lund University",https://www.linkedin.com/company/department-of-automatic-control-lund-university,Very Low,,,13,,,,,
"Nimlas Sverige",https://www.linkedin.com/company/nimlas-sverige,Very High,11,12,13,,,,,
"Magnussons NWP",https://www.linkedin.com/company/magnussons-nwp,Very Low,,,13,,,,,
"Credit Agricole Ukraine",https://www.linkedin.com/company/creditagricoleukraine,Very Low,,,13,,,,,
"Teodoliten Mätteknik AB",https://www.linkedin.com/company/teodoliten-mätteknik-ab,Very High,35,40,13,,,,,
"Smart Parkering Sverige AB",https://www.linkedin.com/company/spsab,Very High,4,3,13,,3,,,
"Räddningstjänsten Mälardalen",https://www.linkedin.com/company/rtmd,Very Low,,,13,,,,,
"Vårdföretagarna",https://www.linkedin.com/company/vårdföretagarna,Very Low,,,13,,,,,
"Boulebar Group AB",https://www.linkedin.com/company/boulebar-group,Very Low,,,13,,,,,
"HälsoESSet",https://www.linkedin.com/company/hälsoesset,Very High,13,14,13,,,,,
"HBG City",https://www.linkedin.com/company/hbgcity,Very High,10,10,13,,,,,
"Andpartners Nordic AB",https://www.linkedin.com/company/partners-nordic-ab,Very Low,,,13,,,,,
"Spektiv AB",https://www.linkedin.com/company/spektiv-ab,Very Low,,,13,,,,,
"Jettime a/s",https://www.linkedin.com/company/jettimecom,Very High,9,12,13,,,,,
"Spädbarnsfonden",https://www.linkedin.com/company/spadbarnsfonden,High,,,13,,4,,,
"Småland Blekinge Halland South Sweden",https://www.linkedin.com/company/smaland-blekinge-halland-south-sweden,High,,,13,,3,,,
"Marbodal",https://www.linkedin.com/company/marbodal,Very Low,,,13,,,,,
"Pufendorf Institute for Advanced Studies - Lund University",https://www.linkedin.com/company/pufendorfinstitute,Very High,9,8,13,,,,,
"NIMAB",https://www.linkedin.com/company/nimab,Very High,31,31,13,,,,,
"Länsstyrelsen Uppsala Län",https://www.linkedin.com/company/länsstyrelsen-uppsala,Very High,8,8,13,,,,,
"Sydsec",https://www.linkedin.com/company/sydsec,Very High,5,5,13,,,,,
"Liljas Personbilar AB",https://www.linkedin.com/company/liljas-personbilar-ab,Very Low,,,13,,,,,
"Anton Utbildning AB",https://www.linkedin.com/company/antonutbildningab,Very High,57,55,13,,,,,
"Länsstyrelsen i Örebro län",https://www.linkedin.com/company/lansstyrelsen-orebro-lan,Very High,9,9,13,,,,,
"Lylli",https://www.linkedin.com/company/lylli,Very Low,,,13,,,,,
"GRAM Group",https://www.linkedin.com/company/gramgroup,Very Low,,,13,,,,,
"Lärandegruppen i Sverige AB",https://www.linkedin.com/company/larandegruppen,Very Low,,,13,,,,,
"Hotel Riviera Strand",https://www.linkedin.com/company/hotel-riviera-strand,Very Low,,,13,,,,,
"digAttract",https://www.linkedin.com/company/digattract,Very Low,,,13,,,,,
"VertiGIS",https://www.linkedin.com/company/vertigis,High,4,4,13,,,,,
"Per Brahegymnasiet",https://www.linkedin.com/company/perbrahegymnasiet,Very Low,,,13,,,,,
"Hälsokraft",https://www.linkedin.com/company/halsokraft,Very High,19,20,13,,,,,
"Careers Hub - Cornwall & Isles of Scilly",https://www.linkedin.com/company/careershubcornwall,Very Low,,,13,,,,,
"AB Ability Coaching",https://www.linkedin.com/company/ab-ability,Very High,22,22,13,,,,,
"Expandia Moduler",https://www.linkedin.com/company/expandia-moduler,Very High,227,195,13,,4,,,
"ImagineCare",https://www.linkedin.com/company/imaginecare,Very Low,,,13,,,,,
"Hyllie IK",https://www.linkedin.com/company/hyllie-idrottsklubb,Very High,12,12,13,,,,,
"JKS Sverige",https://www.linkedin.com/company/jks-sverige,Very High,7,7,13,,,,,
"Naturbruksförvaltningen",https://www.linkedin.com/company/naturbruksförvaltningen,Very Low,,,13,,,,,
"Sedermera Corporate Finance",https://www.linkedin.com/company/sedermera-corporate-finance,Very Low,,,13,,,,,
"Postpac",https://www.linkedin.com/company/postpac,Very High,21,25,13,,,,,
"Xior Student Housing",https://www.linkedin.com/company/xior-student-housing,Very High,38,33,13,,,,,
"Länsstyrelsen Blekinge",https://www.linkedin.com/company/länsstyrelsen-i-blekinge,Very Low,,,13,,,,,
"Soldo",https://www.linkedin.com/company/soldo,Very Low,,,13,,,,,
"Prolympia (Ulno AB,Prolympia AB,GAAB,NCIVAB)",https://www.linkedin.com/company/ulno-ab,Very Low,,,13,,,,,
"Anton Paar Nordic",https://www.linkedin.com/company/anton-paar-nordic,Very Low,,,13,,,,,
"Swedencare",https://www.linkedin.com/company/swedencare,Very High,7,7,13,,,,,
"Tjugonde Hälsa AB",https://www.linkedin.com/company/tjugonde,Very High,26,29,13,,,,,
"Leksands kommun",https://www.linkedin.com/company/leksands-kommun,Very High,8,8,13,,,,,
"Grästorps kommun",https://www.linkedin.com/company/grastorps-kommun,Very Low,,,13,,,,,
"Högsby kommun",https://www.linkedin.com/company/högsby-kommun,Very Low,,,13,,,,,
"Professionals Nord",https://www.linkedin.com/company/professionals-nord,Very Low,,,13,,,,,
"Radisson Blu Metropol Hotel Helsingborg",https://www.linkedin.com/company/radissonblumetropol,Very Low,,,13,,,,,
"Ethiopian Institute of Agricultural Research",https://www.linkedin.com/company/ethiopian-institute-of-agricultural-research,Very Low,,,13,,,,,
"Nordic Storage AB",https://www.linkedin.com/company/nordic-storage-ab,Very High,7,7,13,,,,,
"emp Biotech GmbH",https://www.linkedin.com/company/emp-biotech-gmbh,Very Low,,,13,,,,,
"Teknodont",https://www.linkedin.com/company/teknodont,Very Low,,,13,,,,,
"Nordic Nest Group",https://www.linkedin.com/company/scandinavian-design-center,Very High,8,8,13,,,,,
"Abkati",https://www.linkedin.com/company/abkati,Very High,69,77,13,,,,,
"TransCelerate BioPharma Inc.",https://www.linkedin.com/company/transcelerate-biopharma-inc-,Very Low,,,13,,,,,
"Greater Copenhagen",https://www.linkedin.com/company/greater-copenhagen,High,4,4,13,,,,,
"Acushnet Sverige AB",https://www.linkedin.com/company/acushnet-sverige-ab,Very High,3,3,13,,3,,,
"Boliden Zinkgruvan",https://www.linkedin.com/company/boliden-zinkgruvan,Very Low,,,13,,,,,
"Advize",https://www.linkedin.com/company/advize-health,Very Low,3,,13,,,,,
"Voodoo",https://www.linkedin.com/company/voodoo.io,Very Low,,,13,,,,,
"Damstahl Sverige",https://www.linkedin.com/company/damstahl-sverige,Very High,7,7,13,,,,,
"Consilium Safety Denmark",https://www.linkedin.com/company/consilium-safety-denmark,Very Low,,,13,,,,,
"GBA Key2Compliance",https://www.linkedin.com/company/key2compliance,Very High,27,31,13,,,,,
"Tornstaden",https://www.linkedin.com/company/byggnadsaktiebolaget-tornstaden,Very High,44,44,13,,,,,
"Novo Nordisk Foundation",https://www.linkedin.com/company/novo-nordisk-foundation,Very Low,,,13,,,,,
"Synerity AB",https://www.linkedin.com/company/synerity-ab,Very Low,6,,13,,,,,
"Upwork",https://www.linkedin.com/company/upwork,Very High,16,11,13,,,,,
"Vafabmiljö",https://www.linkedin.com/company/vafabmiljö,Very High,12,13,13,,,,,
"Frälsningsarmén",https://www.linkedin.com/company/fr-lsningsarm-n,Very Low,,,13,,,,,
"Äldrekontakt",https://www.linkedin.com/company/äldrekontakt,Very Low,,,13,,,,,
"Havs- och vattenmyndigheten",https://www.linkedin.com/company/havs-och-vattenmyndigheten,High,3,3,13,,,,,
"Womengineer",https://www.linkedin.com/company/womengineer,Very Low,,,13,,,,,
"Teach for Sweden",https://www.linkedin.com/company/teach-for-sweden,High,,,13,,3,,,
"Abion",https://www.linkedin.com/company/abion-com,Very High,5,5,13,,,,,
"Svensk Bygglogistik AB",https://www.linkedin.com/company/svensk-bygglogistik-ab,Very High,14,14,13,,,,,
"Celonis",https://www.linkedin.com/company/celonis,Very High,4,6,13,,,,,
"Ånge kommun",https://www.linkedin.com/company/-nge-kommun,Very High,4,5,13,,,,,
"ProfilGruppen Extrusions AB",https://www.linkedin.com/company/profilgruppen-extrusions-ab,High,3,3,13,,,,,
"TEDxStockholm",https://www.linkedin.com/company/tedxstockholm,Very Low,,,13,,,,,
"Energikontor Syd",https://www.linkedin.com/company/energikontorsyd,Very High,40,43,13,,,,,
"Veolia | Water Tech",https://www.linkedin.com/company/veolia-water-tech,Very High,9,10,13,,,,,
"Cureus Journal of Medical Science",https://www.linkedin.com/company/cureus,Very Low,,,13,,,,,
"Clinton Mätkonsult",https://www.linkedin.com/company/clinton-m-tkonsult-ab,Very Low,,,13,,,,,
"InterSystem AB",https://www.linkedin.com/company/intersystem-ab,Very Low,,,13,,,,,
"STEM Learning UK",https://www.linkedin.com/company/stemlearninguk,Very Low,,,13,,,,,
"UngArt",https://www.linkedin.com/company/ungart,Very High,61,66,13,,,,,
"Moriska Paviljongen",https://www.linkedin.com/company/moriska-paviljongen,Very High,26,36,13,,3,,,
"Hassela Skåne AB",https://www.linkedin.com/company/hasselaskane,Very High,12,11,13,,6,,,
"Svenska Fotbollsakademin",https://www.linkedin.com/company/svenska-fotbollsakademin-ab,Very High,12,13,13,,,,,
"Miclev AB",https://www.linkedin.com/company/miclev,Very Low,,,13,,,,,
"Retail24",https://www.linkedin.com/company/retail24,High,3,3,13,,,,,
"Solar Sverige AB",https://www.linkedin.com/company/solar-sverige-ab,High,3,3,13,,,,,
"Presona AB",https://www.linkedin.com/company/presona-ab,Very Low,,,13,,,,,
"Ticket Privatresor",https://www.linkedin.com/company/ticket-privatresor,Very High,12,9,13,,,,,
"LTU Business",https://www.linkedin.com/company/ltu-business,Very Low,,,13,,,,,
"HerbertNathan & Co",https://www.linkedin.com/company/herbertnathan-co,Very High,5,5,13,,,,,
"Finja - en del av Sika",https://www.linkedin.com/company/finja-ab,Very High,6,6,13,,,,,
"Nelly.com",https://www.linkedin.com/company/nelly-com,Very Low,,,13,,,,,
"Mathem",https://www.linkedin.com/company/mathem,Very High,44,45,13,,,,,
"OJC Conseil",https://www.linkedin.com/company/ojc-conseil,Very Low,,,13,,,,,
"W Communication Agency",https://www.linkedin.com/company/w-communication-agency,Very High,22,23,13,,,,,
"Trioworld",https://www.linkedin.com/company/trioworld,Very High,6,7,13,,,,,
"Familjebostäder i Göteborg AB",https://www.linkedin.com/company/familjebost-der-i-g-teborg-ab,Very High,20,20,13,,,,,
"Kulturrådet - Swedish Arts Council",https://www.linkedin.com/company/swedish-arts-council,Very High,14,14,13,,,,,
"Skanova",https://www.linkedin.com/company/skanova,Very High,55,60,13,,,,,
"PA Kompetens Lön AB | A part of ECIT",https://www.linkedin.com/company/pa-kompetens-ab,High,3,3,13,,,,,
"Skogforsk",https://www.linkedin.com/company/skogforsk,Very High,5,5,13,,,,,
"VR",https://www.linkedin.com/company/vrgroup,Very High,59,62,13,,4,,,
"Svenska Alarm",https://www.linkedin.com/company/svenskaalarm,Very High,109,107,13,,3,,,
"Brukspecialisten AB",https://www.linkedin.com/company/brukspecialisten,Very High,69,83,13,,,,,
"Avfall Sverige",https://www.linkedin.com/company/avfall-sverige,Very High,20,22,13,,,,,
"IST Group",https://www.linkedin.com/company/ist-sverige-ab,Very High,70,64,13,,,,,
"Twofour",https://www.linkedin.com/company/twofour-digital,Very High,37,27,13,,,,,
"AudioNova (Sonova Audiological Care Denmark ApS)",https://www.linkedin.com/company/audionova,High,3,3,13,,,,,
"one.com",https://www.linkedin.com/company/one.com,Very Low,,,13,,,,,
"Job&Talent",https://www.linkedin.com/company/jobandtalent,Very High,13,13,13,,,,,
"University of Glasgow",https://www.linkedin.com/company/university-of-glasgow,Very High,10,9,13,,,,,
"NNE",https://www.linkedin.com/company/nne,Very Low,,,13,,,,,
"DIK",https://www.linkedin.com/company/dik,Very High,11,9,13,,,,,
"Netset",https://www.linkedin.com/company/netset-ab,Very High,18,17,13,,,,,
"LE34",https://www.linkedin.com/company/le34,Very High,15,15,13,,,,,
"EFPIA - European Federation of Pharmaceutical Industries and Associations",https://www.linkedin.com/company/efpia,Very Low,,,13,,,,,
"Randstad RiseSmart Sverige",https://www.linkedin.com/company/randstadrisesmartsverige,Very Low,,,13,,,,,
"Bolagsverket",https://www.linkedin.com/company/bolagsverket,High,4,4,13,,,,,
"Les Mills International",https://www.linkedin.com/company/les-mills-international,Very High,22,24,13,,,,,
"4C Strategies",https://www.linkedin.com/company/4c-strategies,Very Low,,,13,,,,,
"Almi",https://www.linkedin.com/company/almi-ab,High,4,4,13,,,,,
"PPG Tikkurila Sverige",https://www.linkedin.com/company/ppgtikkurila-sverige-ab,Very Low,,,13,,,,,
"Bjerking",https://www.linkedin.com/company/bjerking-ab,Very High,57,58,13,,,,,
"Frontex",https://www.linkedin.com/company/frontex,Very Low,,,13,,,,,
"SSC Space",https://www.linkedin.com/company/ssc-space,Very Low,,,13,,,,,
"ILVA",https://www.linkedin.com/company/ilva-dk,Very Low,,,13,,,,,
